DATE, DRATE 
2000-08-01,1346.0 
2000-09-01,1841.0 
2000-10-01,1144.0 
2000-11-01,829.0 
2000-12-01,1801.0 
2001-01-01,214.0 
2001-02-01,622.0 
2001-03-01,1173.0 
2001-04-01,909.0 
2001-05-01,1752.0 
2001-06-01,1213.0 
2001-07-01,284.0 
2001-08-01,428.0 
2001-09-01,737.0 
2001-10-01,579.0 
2001-11-01,816.0 
2001-12-01,612.0 
2002-01-01,56.0 
2002-02-01,552.0 
2002-03-01,1261.0 
2002-04-01,625.0 
2002-05-01,1475.0 
2002-06-01,960.0 
2002-07-01,363.0 
2002-08-01,1098.0 
2002-09-01,909.0 
2002-10-01,1268.0 
2002-11-01,1204.0 
2002-12-01,574.0 
2003-01-01,-175.0 
2003-02-01,-521.0 
2003-03-01,-491.0 
2003-04-01,962.0 
2003-05-01,1152.0 
2003-06-01,2228.0 
2003-07-01,534.0 
2003-08-01,1834.0 
2003-09-01,2490.0 
2003-10-01,2393.0 
2003-11-01,2481.0 
2003-12-01,2105.0 
2004-01-01,2778.0 
2004-02-01,1668.0 
2004-03-01,2055.0 
2004-04-01,2653.0 
2004-05-01,2939.0 
2004-06-01,3113.0 
2004-07-01,2614.0 
2004-08-01,1675.0 
2004-09-01,2638.0 
2004-10-01,2255.0 
2004-11-01,2765.0 
2004-12-01,2230.0 
2005-01-01,3004.0 
2005-02-01,2004.0 
2005-03-01,1172.0 
2005-04-01,1629.0 
2005-05-01,1961.0 
2005-06-01,2419.0 
2005-07-01,1727.0 
2005-08-01,1342.0 
2005-09-01,1800.0 
2005-10-01,2700.0 
2005-11-01,1976.0 
2005-12-01,1446.0 
2006-01-01,169.0 
2006-02-01,279.0 
2006-03-01,895.0 
2006-04-01,1104.0 
2006-05-01,1725.0 
2006-06-01,1926.0 
2006-07-01,224.0 
2006-08-01,258.0 
2006-09-01,2014.0 
2006-10-01,2394.0 
2006-11-01,3837.0 
2006-12-01,1257.0 
2007-01-01,533.0 
2007-02-01,819.0 
2007-03-01,1091.0 
2007-04-01,347.0 
