DATE,PRICE
2000. 08,720.4 
2000. 09,622.9 
2000. 10,548.1 
2000. 11,544.1 
2000. 12,526.4 
2001. 01,585.0 
2001. 02,593.4 
2001. 03,543.9 
2001. 04,530.3 
2001. 05,600.7 
2001. 06,602.9 
2001. 07,554.1 
2001. 08,567.7 
2001. 09,504.0 
2001. 10,523.3 
2001. 11,604.9 
2001. 12,666.0 
2002. 01,739.0 
2002. 02,774.4 
2002. 03,864.7 
2002. 04,894.0 
2002. 05,842.2 
2002. 06,784.3 
2002. 07,753.7 
2002. 08,713.2 
2002. 09,703.0 
2002. 10,642.2 
2002. 11,679.7 
2002. 12,699.8 
2003. 01,631.0 
2003. 02,591.6 
2003. 03,550.8 
2003. 04,585.9 
2003. 05,613.5 
2003. 06,663.2 
2003. 07,703.5 
2003. 08,731.7 
2003. 09,742.3 
2003. 10,756.5 
2003. 11,789.1 
2003. 12,801.2 
2004. 01,845.5 
2004. 02,867.5 
2004. 03,875.6 
2004. 04,907.1 
2004. 05,798.8 
2004. 06,771.6 
2004. 07,746.1 
2004. 08,770.3 
2004. 09,835.9 
2004. 10,849.1 
2004. 11,863.1 
2004. 12,873.1 
2005. 01,903.4 
2005. 02,964.5 
2005. 03,988.2 
2005. 04,955.4 
2005. 05,939.0 
2005. 06,991.3 
2005. 07,1058.7 
2005. 08,1101.8 
2005. 09,1171.0 
2005. 10,1190.9 
2005. 11,1253.3 
2005. 12,1338.8 
2006. 01,1379.3 
2006. 02,1341.7 
2006. 03,1331.7 
2006. 04,1415.9 
2006. 05,1388.8 
2006. 06,1249.2 
2006. 07,1278.0 
2006. 08,1316.1 
2006. 09,1356.5 
2006. 10,1354.0 
2006. 11,1403.9 
2006. 12,1418.8 
2007. 01,1379.3 
2007. 02,1434.9 
2007. 03,1431.6 
2007. 04,1517.1 
2007. 05,1614.9 
2007. 06,1754.3 
2007. 07,1911.6 
2007. 08,1815.0 
2007. 09,1879.0 
2007. 10,2004.6 
2007. 11,1924.8 
2007. 12,1904.0 
2008. 01,1732.3 
2008. 02,1689.5 
2008. 03,1651.2 
2008. 04,1776.6 
2008. 05,1846.8 
2008. 06,1758.2 
2008. 07,1569.6 
2008. 08,1537.6 
2008. 09,1446.6 
2008. 10,1201.7 
2008. 11,1074.0 
2008. 12,1114.9 
2009. 01,1156.4 
2009. 02,1139.8 
2009. 03,1140.5 
2009. 04,1322.1 
2009. 05,1400.5 
2009. 06,1395.2 
2009. 07,1460.0 
2009. 08,1577.9 
2009. 09,1659.5 
2009. 10,1630.6 
2009. 11,1583.5 
2009. 12,1646.6 
2010. 01,1682.2 
2010. 02,1599.0 
2010. 03,1665.5 
2010. 04,1730.3 
2010. 05,1648.3 
2010. 06,1691.9 
2010. 07,1731.1 
2010. 08,1762.2 
2010. 09,1815.8 
2010. 10,1889.7 
2010. 11,1924.7 
2010. 12,2002.5 
2011. 01,2091.6 
2011. 02,2002.9 
2011. 03,2002.7 
2011. 04,2153.1 
2011. 05,2121.9 
2011. 06,2074.6 
2011. 07,2150.1 
2011. 08,1869.4 
2011. 09,1791.0 
2011. 10,1825.9 
2011. 11,1858.8 
2011. 12,1863.2 
2012. 01,1891.0 
2012. 02,2003.2 
2012. 03,2023.4 
2012. 04,1995.9 
2012. 05,1886.4 
2012. 06,1848.6 
2012. 07,1826.8 
2012. 08,1918.9 
2012. 09,1961.3 
2012. 10,1942.2 
2012. 11,1904.7 
2012. 12,1973.8 
2013. 01,1986.1 
2013. 02,1979.9 
2013. 03,1990.2 
2013. 04,1938.9 
2013. 05,1974.5 
2013. 06,1884.4 
2013. 07,1871.8 
2013. 08,1897.0 
2013. 09,1984.4 
2013. 10,2029.7 
2013. 11,2009.9 
2013. 12,1988.3 
2014. 01,1948.2 
2014. 02,1937.7 
2014. 03,1952.4 
2014. 04,1991.2 
2014. 05,1994.1 
2014. 06,1995.1 
2014. 07,2022.0 
2014. 08,2060.9 
2014. 09,2042.7 
2014. 10,1942.8 
2014. 11,1959.7 
2014. 12,1941.9 
2015. 01,1921.0 
2015. 02,1961.0 
2015. 03,2012.6 
2015. 04,2107.3 
2015. 05,2114.9 
2015. 06,2063.7 
2015. 07,2058.0 
2015. 08,1952.6 
2015. 09,1939.6 
2015. 10,2020.6 
2015. 11,2006.8 
2015. 12,1971.5 
2016. 01,1894.7 
2016. 02,1900.6 
2016. 03,1976.5 
2016. 04,1996.2 
2016. 05,1966.7 
2016. 06,1977.0 
2016. 07,2002.5 
2016. 08,2036.7 
2016. 09,2042.6 
2016. 10,2036.0 
2016. 11,1981.8 
2016. 12,2021.7 
2017. 01,2061.7 
2017. 02,2082.8 
2017. 03,2136.2 
2017. 04,2160.2 
2017. 05,2301.9 
2017. 06,2372.2 
2017. 07,2412.9 
2017. 08,2372.2 
2017. 09,2371.8 
2017. 10,2482.9 
2017. 11,2533.5 
2017. 12,2467.7 
2018. 01,2520.9 
2018. 02,2439.1 
2018. 03,2451.6 
2018. 04,2458.2 
2018. 05,2461.3 
2018. 06,2394.5 
2018. 07,2284.3 
2018. 08,2283.8 
2018. 09,2307.3 
2018. 10,2153.5 
2018. 11,2083.3 
2018. 12,2070.1 
2019. 01,2102.0 
2019. 02,2210.2 
2019. 03,2161.9 
2019. 04,2212.1 
2019. 05,2086.9 
2019. 06,2105.3 
2019. 07,2079.5 
2019. 08,1944.2 
2019. 09,2045.2 
2019. 10,2065.8 
2019. 11,2128.8 
2019. 12,2147.0 
2020. 01,2203.4 
2020. 02,2167.1 
2020. 03,1786.8 
2020. 04,1849.6 
2020. 05,1965.2 
2020. 06,2134.7 
2020. 07,2249.3 
2020. 08,2326.1 
2020. 09,2327.9 
2020. 10,2267.1 
2020. 11,2591.3 
2020. 12,2801.4 
