DATE, DRATE 
2000-08-01,8475653.0 
2000-09-01,7537045.0 
2000-10-01,7029036.0 
2000-11-01,7079419.0 
2000-12-01,6057559.0 
2001-01-01,8717044.0 
2001-02-01,8160622.0 
2001-03-01,7644483.0 
2001-04-01,8652754.0 
2001-05-01,9027545.0 
2001-06-01,7751020.0 
2001-07-01,7644425.0 
2001-08-01,7613520.0 
2001-09-01,8220522.0 
2001-10-01,8207838.0 
2001-11-01,9939724.0 
2001-12-01,9557885.0 
2002-01-01,11563288.0 
2002-02-01,10772533.0 
2002-03-01,12003890.0 
2002-04-01,11686593.0 
2002-05-01,10204721.0 
2002-06-01,9577603.0 
2002-07-01,9349363.0 
2002-08-01,9253382.0 
2002-09-01,8238971.0 
2002-10-01,9074619.0 
2002-11-01,9235844.0 
2002-12-01,8140594.0 
2003-01-01,7792714.0 
2003-02-01,7994702.0 
2003-03-01,11017960.0 
2003-04-01,9992071.0 
2003-05-01,9842037.0 
2003-06-01,10423573.0 
2003-07-01,10195816.0 
2003-08-01,10024919.0 
2003-09-01,9131277.0 
2003-10-01,9776019.0 
2003-11-01,9536302.0 
2003-12-01,9543693.0 
2004-01-01,9501745.0 
2004-02-01,9014871.0 
2004-03-01,8869009.0 
2004-04-01,10386632.0 
2004-05-01,8745219.0 
2004-06-01,8381423.0 
2004-07-01,7842231.0 
2004-08-01,8517939.0 
2004-09-01,8788808.0 
2004-10-01,8085235.0 
2004-11-01,8584325.0 
2004-12-01,8130850.0 
2005-01-01,9989077.0 
2005-02-01,10613415.0 
2005-03-01,10008270.0 
2005-04-01,9434328.0 
2005-05-01,9668744.0 
2005-06-01,10071352.0 
2005-07-01,11620741.0 
2005-08-01,11139033.0 
2005-09-01,11783193.0 
2005-10-01,11493541.0 
2005-11-01,12819794.0 
2005-12-01,11895560.0 
2006-01-01,13125226.0 
2006-02-01,12114613.0 
2006-03-01,11248693.0 
2006-04-01,13276411.0 
2006-05-01,10781390.0 
2006-06-01,9799729.0 
2006-07-01,9719467.0 
2006-08-01,9618528.0 
2006-09-01,9333554.0 
2006-10-01,9614849.0 
2006-11-01,9337799.0 
2006-12-01,8448888.0 
2007-01-01,8535821.0 
2007-02-01,9736895.0 
2007-03-01,9909658.0 
2007-04-01,11366968.0 
2007-05-01,13175864.0 
2007-06-01,14015318.0 
2007-07-01,14555935.0 
2007-08-01,12836974.0 
2007-09-01,12692841.0 
2007-10-01,13130631.0 
2007-11-01,10827719.0 
2007-12-01,9508721.0 
2008-01-01,9771113.0 
2008-02-01,9284973.0 
2008-03-01,9561687.0 
2008-04-01,11022300.0 
2008-05-01,10030722.0 
2008-06-01,9170435.0 
2008-07-01,9041815.0 
2008-08-01,8104895.0 
2008-09-01,9427159.0 
2008-10-01,10026310.0 
2008-11-01,9617374.0 
2008-12-01,9240571.0 
2009-01-01,10014705.0 
2009-02-01,10301501.0 
2009-03-01,12942209.0 
2009-04-01,14272309.0 
2009-05-01,14570308.0 
2009-06-01,12722676.0 
2009-07-01,14386136.0 
2009-08-01,13932403.0 
2009-09-01,13863875.0 
2009-10-01,13143718.0 
2009-11-01,12282675.0 
2009-12-01,11786521.0 
2010-01-01,13058022.0 
2010-02-01,12212921.0 
2010-03-01,13068297.0 
2010-04-01,14014129.0 
2010-05-01,13646709.0 
2010-06-01,13657176.0 
2010-07-01,13644024.0 
2010-08-01,12681411.0 
2010-09-01,13815291.0 
2010-10-01,14834689.0 
2010-11-01,15076117.0 
2010-12-01,13702433.0 
2011-01-01,16260036.0 
2011-02-01,14676169.0 
2011-03-01,15585520.0 
2011-04-01,17277007.0 
2011-05-01,15249551.0 
2011-06-01,15623112.0 
2011-07-01,17281439.0 
2011-08-01,19338872.0 
2011-09-01,18747297.0 
2011-10-01,20530376.0 
2011-11-01,18336319.0 
2011-12-01,17427014.0 
2012-01-01,20081668.0 
2012-02-01,19915355.0 
2012-03-01,18221060.0 
2012-04-01,17815462.0 
2012-05-01,16876255.0 
2012-06-01,16358049.0 
2012-07-01,16275069.0 
2012-08-01,18271825.0 
2012-09-01,18734735.0 
